2.97557346624
         1937230 function calls (1935265 primitive calls) in 6.630 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        8    0.000    0.000    0.005    0.001 {__import__}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
      407    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
     1086    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
      604    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
      485    0.000    0.000    0.000    0.000 urllib.py:1200(<genexpr>)
        1    0.000    0.000    0.019    0.019 type_check.py:3(<module>)
       72    0.000    0.000    0.015    0.000 sre_parse.py:676(parse)
      485    0.000    0.000    0.000    0.000 urlparse.py:331(<genexpr>)
       92    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.001    0.001 _datasource.py:33(<module>)
        1    0.000    0.000    0.001    0.001 mlab.py:142(<module>)
        1    0.000    0.000    0.015    0.015 decorator.py:29(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1610(_pprint_styles)
        1    0.000    0.000    0.003    0.003 random.py:40(<module>)
        1    0.000    0.000    0.001    0.001 urllib.py:23(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:389(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.015    0.015 inspect.py:25(<module>)
      290    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parser.py:7(<module>)
      731    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tkagg.py:1(<module>)
       65    0.000    0.000    0.000    0.000 copy.py:306(_reconstruct)
        6    0.000    0.000    0.000    0.000 patches.py:1573(_pprint_table)
        1    0.000    0.000    0.001    0.001 patches.py:2867(ArrowStyle)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
       50    0.000    0.000    0.000    0.000 colors.py:326(to_rgba)
        2    0.000    0.000    0.000    0.000 __init__.py:6(<module>)
     1737    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.001    0.001 colors.py:48(<module>)
        1    0.000    0.000    0.001    0.001 axis.py:3(<module>)
       88    0.000    0.000    0.002    0.000 docstring.py:103(dedent_interpd)
        1    0.000    0.000    0.020    0.020 __init__.py:96(<module>)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
      534    0.000    0.000    0.000    0.000 <string>:8(__new__)
       68    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
      142    0.000    0.000    0.001    0.000 cm.py:61(_generate_cmap)
        1    0.000    0.000    0.028    0.028 optimize.py:16(<module>)
        1    0.000    0.000    0.002    0.002 lines.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:14(<module>)
      534    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       43    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
       10    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
        1    0.000    0.000    0.012    0.012 tokenize.py:23(<module>)
      142    0.000    0.000    0.000    0.000 colors.py:491(__init__)
       10    0.000    0.000    0.001    0.000 colors.py:742(from_list)
        1    0.000    0.000    0.000    0.000 mimetools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
      407    0.000    0.000    0.000    0.000 artist.py:983(aliased_name)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:282(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        7    0.000    0.000    0.000    0.000 decorator.py:81(__init__)
      170    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
      534    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      142    0.000    0.000    0.000    0.000 colors.py:668(__init__)
      520    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      511    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      154    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
