         5626341 function calls (5624376 primitive calls) in 25.793 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:445(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
     2024    0.002    0.000    0.010    0.000 _methods.py:31(_any)
       13    0.000    0.000    0.000    0.000 _methods.py:35(_all)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _minimize.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:412(complex_ode)
        1    0.000    0.000    0.000    0.000 _ode.py:507(IntegratorConcurrencyError)
        1    0.000    0.000    0.000    0.000 _ode.py:520(IntegratorBase)
        1    0.000    0.000    0.000    0.000 _ode.py:567(vode)
        1    0.000    0.000    0.000    0.000 _ode.py:721(zvode)
        1    0.000    0.000    0.000    0.000 _ode.py:835(dopri5)
        1    0.000    0.000    0.000    0.000 _ode.py:904(dop853)
        1    0.000    0.000    0.000    0.000 _ode.py:951(lsoda)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:14(Gcf)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.042    0.042 _root.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _umfpack.py:11(<module>)
        1    0.000    0.000    0.001    0.001 _umfpack.py:13(swig_import_helper)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _util.py:22(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:4(DeprecatedImport)
